Battle,(10/0),(9/0),(8/0),(7/0),(6/0),(5/0),(4/0),(3/0),(2/0),(1/1),(1/2),(1/3),(1/4),(1/5),(1/6),(1/7),(1/8),(1/9),(1/10),Win
(10/10),0.007,0.021,0.039,0.059,0.077,0.087,0.096,0.063,0.031,0.043,0.080,0.087,0.077,0.075,0.059,0.048,0.029,0.016,0.005,0.480
(10/9),0.013,0.030,0.054,0.075,0.090,0.101,0.099,0.064,0.032,0.045,0.087,0.077,0.075,0.059,0.048,0.029,0.016,0.005,0.000,0.558
(10/8),0.019,0.045,0.073,0.093,0.108,0.106,0.106,0.065,0.031,0.043,0.077,0.075,0.059,0.048,0.029,0.016,0.005,0.000,0.000,0.646
(10/7),0.034,0.063,0.095,0.114,0.116,0.116,0.098,0.060,0.029,0.041,0.075,0.059,0.048,0.029,0.016,0.005,0.000,0.000,0.000,0.726
(10/6),0.051,0.092,0.123,0.128,0.129,0.108,0.097,0.054,0.025,0.035,0.059,0.048,0.029,0.016,0.005,0.000,0.000,0.000,0.000,0.808
(10/5),0.091,0.124,0.147,0.145,0.122,0.105,0.076,0.043,0.020,0.028,0.048,0.029,0.016,0.005,0.000,0.000,0.000,0.000,0.000,0.873
(10/4),0.138,0.165,0.179,0.140,0.120,0.080,0.063,0.031,0.014,0.019,0.029,0.016,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.930
(10/3),0.245,0.208,0.175,0.132,0.085,0.061,0.035,0.018,0.008,0.011,0.016,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.967
(10/2),0.372,0.222,0.184,0.090,0.063,0.029,0.019,0.008,0.003,0.004,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990
(10/1),0.660,0.224,0.076,0.026,0.009,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
(9/10),0.000,0.007,0.021,0.039,0.059,0.077,0.087,0.059,0.031,0.043,0.087,0.086,0.094,0.084,0.081,0.061,0.047,0.025,0.011,0.380
