Battle,(30/0),(29/0),(28/0),(27/0),(26/0),(25/0),(24/0),(23/0),(22/0),(21/0),(20/0),(19/0),(18/0),(17/0),(16/0),(15/0),(14/0),(13/0),(12/0),(11/0),(10/0),(9/0),(8/0),(7/0),(6/0),(5/0),(4/0),(3/0),(2/0),(1/1),(1/2),(1/3),(1/4),(1/5),(1/6),(1/7),(1/8),(1/9),(1/10),(1/11),(1/12),(1/13),(1/14),(1/15),(1/16),(1/17),(1/18),(1/19),(1/20),(1/21),(1/22),(1/23),(1/24),(1/25),(1/26),(1/27),(1/28),(1/29),(1/30),Win
(30/30),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.008,0.012,0.015,0.020,0.024,0.029,0.033,0.039,0.042,0.047,0.048,0.052,0.051,0.053,0.050,0.051,0.032,0.015,0.021,0.039,0.040,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633
(30/29),0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.010,0.014,0.018,0.023,0.028,0.033,0.038,0.042,0.047,0.048,0.052,0.051,0.054,0.051,0.052,0.047,0.030,0.015,0.021,0.040,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.672
(30/28),0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.006,0.009,0.013,0.017,0.022,0.027,0.032,0.038,0.042,0.047,0.049,0.053,0.052,0.055,0.052,0.053,0.048,0.048,0.029,0.014,0.020,0.035,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714
(30/27),0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.008,0.011,0.016,0.020,0.026,0.031,0.037,0.041,0.047,0.049,0.054,0.053,0.056,0.053,0.054,0.049,0.049,0.043,0.027,0.013,0.019,0.036,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750
(30/26),0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.010,0.014,0.019,0.025,0.030,0.036,0.041,0.047,0.049,0.054,0.054,0.057,0.054,0.055,0.051,0.050,0.044,0.043,0.026,0.012,0.017,0.031,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.787
(30/25),0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.009,0.013,0.018,0.023,0.029,0.035,0.040,0.047,0.050,0.055,0.055,0.058,0.055,0.057,0.052,0.051,0.045,0.044,0.037,0.023,0.011,0.016,0.030,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.819
(30/24),0.000,0.000,0.000,0.001,0.001,0.003,0.004,0.007,0.011,0.016,0.022,0.027,0.034,0.040,0.046,0.050,0.055,0.056,0.059,0.057,0.058,0.053,0.053,0.046,0.045,0.038,0.036,0.021,0.010,0.014,0.025,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.851
(30/23),0.000,0.000,0.000,0.001,0.002,0.003,0.006,0.010,0.014,0.020,0.026,0.033,0.039,0.046,0.050,0.056,0.057,0.061,0.058,0.060,0.055,0.054,0.048,0.046,0.039,0.037,0.030,0.018,0.009,0.013,0.023,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.877
(30/22),0.000,0.000,0.000,0.001,0.002,0.005,0.008,0.012,0.018,0.024,0.031,0.038,0.045,0.050,0.056,0.058,0.062,0.060,0.061,0.056,0.056,0.049,0.047,0.040,0.038,0.031,0.028,0.016,0.008,0.011,0.018,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.902
(30/21),0.000,0.000,0.001,0.002,0.004,0.006,0.011,0.016,0.022,0.030,0.037,0.045,0.050,0.057,0.059,0.063,0.061,0.063,0.058,0.058,0.051,0.049,0.041,0.038,0.031,0.029,0.023,0.014,0.007,0.009,0.017,0.013,0.011,0.008,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.922
